Année,Sexe,Rang,Prénom,Total
1938,Masculin,2,MICHEL,16848
1938,Masculin,3,CLAUDE,13552
1938,Masculin,4,PIERRE,12452
1938,Masculin,5,ANDRÉ,12036
1938,Féminin,1,MARIE,23171
1938,Féminin,2,MONIQUE,14071
1938,Féminin,3,JACQUELINE,10230
1938,Féminin,4,NICOLE,8458
1938,Féminin,5,JEANNINE,7064
1939,Masculin,1,JEAN,37294
1939,Masculin,2,MICHEL,17141
1939,Masculin,3,CLAUDE,13275
1939,Masculin,4,PIERRE,11885
1939,Masculin,5,ANDRÉ,11349
1939,Féminin,1,MARIE,23604
1939,Féminin,2,MONIQUE,14036
1939,Féminin,3,JACQUELINE,9595
1939,Féminin,4,NICOLE,9229
1939,Féminin,5,JEANNINE,6342
1940,Masculin,1,JEAN,34879
1940,Masculin,2,MICHEL,16367
1940,Masculin,3,CLAUDE,11586
1940,Masculin,4,ANDRÉ,10063
1940,Masculin,5,PIERRE,9985
1940,Féminin,1,MARIE,22332
1940,Féminin,2,MONIQUE,12515
1940,Féminin,3,NICOLE,8437
1940,Féminin,4,JACQUELINE,8336
1940,Féminin,5,FRANÇOISE,5987
1941,Masculin,1,JEAN,33295
1941,Masculin,2,MICHEL,16139
1941,Masculin,3,CLAUDE,10200
1941,Masculin,4,ANDRÉ,9107
1941,Masculin,5,JACQUES,9059
1941,Féminin,1,MARIE,20497
1941,Féminin,2,MONIQUE,11860
1941,Féminin,3,NICOLE,8662
1941,Féminin,4,JACQUELINE,7975
1941,Féminin,5,FRANÇOISE,6275
1942,Masculin,1,JEAN,37526
1942,Masculin,2,MICHEL,18704
1942,Masculin,3,BERNARD,10248
1942,Masculin,4,CLAUDE,10073
1942,Masculin,5,JACQUES,10023
1942,Féminin,1,MARIE,22521
1942,Féminin,2,MONIQUE,12540
1942,Féminin,3,NICOLE,10183
1942,Féminin,4,JACQUELINE,8590
1942,Féminin,5,FRANÇOISE,7875
1943,Masculin,1,JEAN,40742
1943,Masculin,2,MICHEL,20722
1943,Masculin,3,BERNARD,11806
1943,Masculin,4,DANIEL,11524
1943,Masculin,5,GÉRARD,11183
1943,Féminin,1,MARIE,24309
1943,Féminin,2,MONIQUE,13228
1943,Féminin,3,NICOLE,11057
1943,Féminin,4,FRANÇOISE,9107
1943,Féminin,5,JACQUELINE,8851
1944,Masculin,1,JEAN,40072
1944,Masculin,2,MICHEL,20880
1944,Masculin,3,DANIEL,12254
1944,Masculin,4,BERNARD,11958
1944,Masculin,5,GÉRARD,11898
1944,Féminin,1,MARIE,25211
1944,Féminin,2,MONIQUE,12872
1944,Féminin,3,NICOLE,11055
1944,Féminin,4,FRANÇOISE,9457
1944,Féminin,5,JACQUELINE,8762
1945,Masculin,1,JEAN,40730
1945,Masculin,2,MICHEL,21010
1945,Masculin,3,DANIEL,13227
1945,Masculin,4,GÉRARD,12399
1945,Masculin,5,BERNARD,11918
1945,Féminin,1,MARIE,25244
1945,Féminin,2,MONIQUE,11777
1945,Féminin,3,NICOLE,11035
1945,Féminin,4,FRANÇOISE,9757
1945,Féminin,5,DANIELLE,8596
1946,Masculin,1,JEAN,53502
1946,Masculin,2,MICHEL,31887
1946,Masculin,3,DANIEL,20819
1946,Masculin,4,ALAIN,19786
1946,Masculin,5,GÉRARD,19229
1946,Féminin,1,MARIE,31187
1946,Féminin,2,MONIQUE,16890
1946,Féminin,3,NICOLE,15549
1946,Féminin,4,FRANÇOISE,14352
